,id,name,lat,long,dock_count,city,installation_date,mean_of_docks_available,docks_usage_percentage
0,2,San Jose Diridon Caltrain Station,37.329732,-121.901782,27,San Jose,2013-08-06,13.7615345526,0.509686464911
1,3,San Jose Civic Center,37.330698,-121.888979,15,San Jose,2013-08-05,6.52788381006,0.435192254004
2,4,Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,2013-08-06,5.68524878235,0.516840798395
3,5,Adobe on Almaden,37.331415,-121.8932,19,San Jose,2013-08-05,10.8686634668,0.572034919305
4,6,San Pedro Square,37.336721,-121.894074,15,San Jose,2013-08-07,7.38377316544,0.492251544363
5,7,Paseo de San Antonio,37.333798,-121.886943,15,San Jose,2013-08-07,6.44558522149,0.429705681433
6,8,San Salvador at 1st,37.330165,-121.885831,15,San Jose,2013-08-05,7.42591131028,0.495060754019
7,9,Japantown,37.348742,-121.894715,15,San Jose,2013-08-05,6.71721095822,0.447814063881
8,10,San Jose City Hall,37.337391,-121.886995,15,San Jose,2013-08-06,8.63397956913,0.575598637942
9,11,MLK Library,37.335885,-121.88566,19,San Jose,2013-08-06,9.47311298096,0.498584893735
10,12,SJSU 4th at San Carlos,37.332808,-121.883891,19,San Jose,2013-08-07,8.51331578078,0.44806925162
11,13,St James Park,37.339301,-121.889937,15,San Jose,2013-08-06,8.11246909442,0.540831272961
12,14,Arena Green / SAP Center,37.332692,-121.900084,19,San Jose,2013-08-05,10.3110030072,0.5426843688
13,16,SJSU - San Salvador at 9th,37.333955,-121.877349,15,San Jose,2013-08-07,7.73882600337,0.515921733558
14,21,Franklin at Maple,37.481758,-122.226904,15,Redwood City,2013-08-12,8.37592358622,0.558394905748
15,22,Redwood City Caltrain Station,37.486078,-122.232089,25,Redwood City,2013-08-15,14.9667179492,0.598668717968
16,23,San Mateo County Center,37.487616,-122.229951,15,Redwood City,2013-08-15,7.77303725095,0.518202483397
17,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,2013-08-12,7.70747476716,0.513831651144
18,25,Stanford in Redwood City,37.48537,-122.203288,15,Redwood City,2013-08-12,8.35203950566,0.556802633711
19,26,Redwood City Medical Center,37.487682,-122.223492,15,Redwood City,2013-08-12,7.27358493269,0.484905662179
20,27,Mountain View City Hall,37.389218,-122.081896,15,Mountain View,2013-08-16,7.85476072468,0.523650714979
21,28,Mountain View Caltrain Station,37.394358,-122.076713,23,Mountain View,2013-08-15,12.0466966722,0.52376942053
22,29,San Antonio Caltrain Station,37.40694,-122.106758,23,Mountain View,2013-08-15,12.1901482226,0.530006444461
23,30,Evelyn Park and Ride,37.390277,-122.066553,15,Mountain View,2013-08-16,7.19305327554,0.479536885036
24,31,San Antonio Shopping Center,37.400443,-122.108338,15,Mountain View,2013-12-31,7.7570161711,0.517134411407
